# objid id_nircam z ra_nirspec dec_nirspec mag_F444W z_phot_nircam mag_F160W mag_F814W z_phot_wfc3ir logoh err_logoh_neg err_logoh_pos logm_16 logm_50 logm_84 logsfr_16 logsfr_50 logsfr_84 av_16 av_50 av_84 t_lw_16 t_lw_50 t_lw_84 beta_16 beta_50 beta_84 Muv_16 Muv_50 Muv_84 mu_16 mu_50 mu_84 logre_uv_kpc ref sfr_Hb4861_16 sfr_Hb4861_50 sfr_Hb4861_84 sfr_Ha6564_16 sfr_Ha6564_50 sfr_Ha6564_84 r_offset_arcsec msa_flux_frac
ERO_04590 3186 8.496 110.85932870 -73.44916560 26.0 0.000 0.0 0.0 0.000 7.103 0.110 0.130 7.903 8.115 8.347 0.014 0.162 0.314 0.161 0.235 0.294 -99.000 -99.000 -99.000 -2.106 -1.972 -1.837 -20.047 -20.134 -20.211 8.700 8.700 8.700 -99.000 nakajima+23 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 0.066 0.236
ERO_5144 2291 6.378 110.83967390 -73.44535700 27.9 0.000 0.0 0.0 0.000 7.897 0.090 0.100 8.096 8.249 8.382 0.028 0.740 1.513 0.406 0.631 0.881 -99.000 -99.000 -99.000 -0.806 0.172 1.037 -16.218 -16.962 -17.499 3.180 3.180 3.180 -0.634 nakajima+23 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 0.026 0.262
ERO_6355 1045 7.665 110.84459420 -73.43505900 24.4 0.000 0.0 0.0 0.000 8.294 0.090 0.110 8.700 8.817 8.975 1.172 1.257 1.337 0.170 0.214 0.250 -99.000 -99.000 -99.000 -1.986 -1.903 -1.800 -20.885 -20.934 -20.978 1.780 1.780 1.780 -0.572 nakajima+23 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 0.058 0.487
ERO_10612 769 7.660 110.83396490 -73.43452320 25.8 0.000 0.0 0.0 0.000 7.670 0.060 0.070 8.111 8.269 8.437 0.710 0.727 0.774 0.061 0.117 0.166 -99.000 -99.000 -99.000 -2.438 -2.334 -2.236 -20.419 -20.484 -20.538 1.860 1.860 1.860 -0.721 nakajima+23 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 0.092 0.429
GLASS_100003 17751 7.877 3.60450890 -30.38044390 25.1 0.000 0.0 0.0 0.000 7.681 0.130 0.170 8.942 8.990 9.034 1.237 1.267 1.301 0.097 0.134 0.162 -99.000 -99.000 -99.000 -1.884 -1.850 -1.823 -20.700 -20.726 -20.748 1.340 1.340 1.340 -0.672 nakajima+23 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 0.088 0.395
GLASS_10021 5260 7.286 3.60851110 -30.41854050 24.7 0.000 0.0 0.0 0.000 7.889 0.090 0.110 8.418 8.453 8.599 1.301 1.331 1.372 0.145 0.170 0.184 -99.000 -99.000 -99.000 -2.275 -2.225 -2.175 -21.815 -21.842 -21.871 1.720 1.720 1.720 -0.331 nakajima+23 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 0.092 0.556
GLASS_150029 4478 4.584 3.57716640 -30.42257600 26.2 0.000 0.0 0.0 0.000 7.774 0.070 0.080 9.108 9.137 9.160 0.634 0.723 0.815 0.000 0.001 0.009 -99.000 -99.000 -99.000 -1.912 -1.797 -1.690 -19.315 -19.391 -19.472 1.480 1.480 1.480 -0.597 nakajima+23 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 0.053 0.264
GLASS_160133 4067 4.015 3.58027540 -30.42440410 26.2 0.000 0.0 0.0 0.000 8.010 0.050 0.050 8.683 8.721 8.744 0.436 0.526 0.788 0.006 0.065 0.103 -99.000 -99.000 -99.000 -1.952 -1.888 -1.803 -19.006 -19.082 -19.154 1.540 1.540 1.540 -0.665 nakajima+23 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 0.017 0.404
CEERS_01027 -99 7.825 214.88299410 52.84041590 -99.0 0.000 0.0 0.0 0.000 7.755 0.140 0.190 8.684 9.016 9.142 0.954 1.019 1.123 0.027 0.094 0.128 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 1.000 1.000 1.000 -99.000 nakajima+23 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 0.078 nan
CEERS_01536 -99 5.036 214.97722670 52.94078210 -99.0 0.000 0.0 0.0 0.000 7.654 0.120 0.150 7.660 8.850 10.040 0.980 1.200 1.350 0.000 0.000 0.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 1.000 1.000 1.000 -99.000 nakajima+23 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 0.029 nan
