id ra dec z_gsf z err_l_z err_u_z flux_f444w fluxerr_f444w logMstel err_l_logMstel err_u_logMstel logSFRUV err_l_logSFRUV err_u_logSFRUV beta err_l_beta err_u_beta Muv err_l_Muv err_u_Muv logT err_l_logT err_u_logT logZ err_l_logZ err_u_logZ Av err_l_Av err_u_Av sn_uv sn_det mgf err_l_mgf err_u_mgf logre_kpc err_l_logre_kpc err_u_logre_kpc n err_l_n err_u_n q err_l_q err_u_q chi2 no-data-sed scale_flux err_scale_flux_l err_scale_flux_u flag_gf flag_zspec flag_keydrop flag_unresolved flag_bd chi2nu_eazy chi2nu_spex keydrop
glassnircam-6031 3.5769939 -30.415525 5.13 5.13 0.0 0.0 130.441 7.181 8.681 0.03 0.04 0.541 0.04 0.06 -1.93 0.02 0.05 -18.761 0.06 0.07 -0.97 0.21 0.15 -1.07 0.1 0.07 0.0 0.0 0.05 11.628 63.07 27.125 0.045 0.045 0.049 0.055 0.055 0.783 0.079 0.079 0.45 0.017 0.017 0.814 7 1.0 1.0 1.0 1 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-6323 3.5706301 -30.414635 5.76 5.76 0.0 0.0 191.65 5.085 8.894 0.2 0.16 1.014 0.13 0.12 -1.83 0.14 0.12 -19.754 0.07 0.08 -0.66 0.32 0.22 -0.69 0.15 0.21 0.3 0.21 0.2 27.093 122.383 26.676 0.171 0.171 -0.05 0.27 0.27 10.0 2.534 2.534 0.2 0.021 0.021 0.768 7 1.0 1.0 1.0 1 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-7284 3.5879247 -30.411587 5.28 5.28 0.0 0.0 68.421 5.254 7.76 0.17 0.27 -0.2 0.18 0.24 -2.04 0.19 0.27 -17.922 0.14 0.11 -1.41 0.31 0.43 -0.95 0.41 0.26 0.27 0.26 0.44 12.711 51.555 29.359 0.029 0.029 -0.934 0.605 0.605 1.0 0.0 0.0 0.2 0.017 0.017 0.679 7 0.712 0.019 0.019 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-7728 3.6006 -30.410273 6.38 6.38 0.0 0.0 27.132 3.285 7.054 0.34 0.38 -0.416 0.04 0.02 -2.61 0.17 0.24 -16.93 0.12 0.08 -1.39 0.96 0.75 -0.93 0.73 0.72 0.27 0.26 0.31 12.597 28.905 29.912 0.034 0.034 -1.389 0.223 0.223 1.0 0.0 0.0 0.609 0.054 0.054 0.707 7 1.031 0.032 0.033 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-7965 3.5965643 -30.40897 5.28 5.28 0.0 0.0 31.0 2.942 8.007 0.2 0.29 -0.063 0.26 0.2 -1.9 0.26 0.19 -16.527 0.15 0.15 -0.57 1.61 0.48 -1.14 0.69 0.81 1.09 0.31 0.16 11.271 39.977 29.225 0.041 0.041 -0.805 0.502 0.502 1.0 0.0 0.0 0.2 0.021 0.021 0.702 7 1.362 0.05 0.052 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-9029 3.550838 -30.405872 5.04 5.04 0.0 0.0 93.374 4.753 8.464 0.26 0.17 0.574 0.05 0.03 -2.57 0.19 0.31 -19.487 0.15 0.09 -0.99 0.3 0.13 -1.5 0.38 0.54 0.0 0.0 0.01 26.507 79.247 27.109 0.013 0.013 -0.683 0.254 0.254 1.0 0.0 0.0 0.487 0.024 0.024 1.018 7 1.024 0.012 0.012 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-9421 3.6000569 -30.404362 5.28 5.28 0.0 0.0 46.018 3.922 7.792 0.04 0.21 -0.138 0.04 0.15 -2.23 0.09 0.15 -17.55 0.12 0.08 -1.37 0.31 0.42 -0.74 0.21 0.49 0.03 0.03 0.23 12.785 46.336 28.821 0.033 0.033 -0.658 0.102 0.102 1.0 0.0 0.0 0.2 0.014 0.014 0.809 7 1.089 0.033 0.034 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-9436 3.5761104 -30.404465 5.66 5.66 0.0 0.0 85.865 3.72 8.116 0.22 0.13 0.506 0.01 0.01 -2.83 0.02 0.04 -19.4 0.03 0.03 -0.65 0.29 0.19 -0.6 0.13 0.06 0.0 0.0 0.02 31.605 84.718 27.413 0.017 0.017 -0.593 0.051 0.051 1.0 0.0 0.0 0.349 0.012 0.012 1.16 7 0.993 0.016 0.016 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-9642 3.6010537 -30.403976 6.33 6.33 0.0 0.0 25.995 2.631 7.409 0.23 0.41 -0.161 0.03 0.02 -2.61 0.16 0.21 -17.946 0.09 0.07 -1.37 1.33 0.8 -0.81 0.74 0.47 0.33 0.3 0.2 13.34 34.776 29.234 0.038 0.038 -0.941 0.105 0.105 1.0 0.0 0.0 0.2 0.042 0.042 1.13 7 0.882 0.03 0.032 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-9694 3.5700579 -30.403687 5.55 5.55 0.0 0.0 130.016 4.84 8.704 0.14 0.19 0.764 0.18 0.19 -1.61 0.19 0.2 -18.723 0.11 0.1 -1.47 0.33 0.22 -0.9 0.32 0.2 0.6 0.18 0.36 18.711 88.916 27.819 0.026 0.026 -0.652 0.049 0.049 1.0 0.0 0.0 0.595 0.035 0.035 0.612 7 0.98 0.024 0.024 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
